# Acquisition started at 12/08/2022 - 14:30:17 
#
#******************************************* 
#
Event	EvType	ASIC	ChType	Ch	ADC
602	011	2	10	1		644
603	011	2	10	1		622
604	011	2	11	0		0
605	011	2	10	0		629
606	011	2	10	27		571
607	011	2	10	28		544
608	011	2	10	14		639
609	011	2	10	31		666
610	011	2	10	23		543
611	011	2	10	9		581
612	011	2	10	17		572
613	011	2	10	6		771
614	011	2	10	2		586
615	011	2	10	15		564
616	011	2	10	21		575
617	011	2	10	27		592
618	011	2	10	16		573
619	011	2	10	4		679
620	011	2	10	23		580
621	011	2	10	8		555
622	011	2	10	24		554
623	011	2	10	9		571
624	011	2	11	0		0
625	011	2	10	24		602
626	011	2	10	30		631
627	011	2	10	21		580
628	011	2	10	29		627
629	011	2	10	29		584
630	011	2	10	4		616
631	011	2	10	6		637
632	011	2	10	6		635
633	011	2	10	29		688
634	011	2	11	0		0
635	011	2	10	29		658
636	011	2	10	26		563
637	011	2	10	27		616
638	011	2	10	2		604
639	011	2	10	0		610
640	011	2	10	9		565
641	011	2	10	31		791
642	011	2	10	10		626
643	011	2	10	23		597
644	011	2	10	30		657
645	011	2	10	30		608
646	011	2	10	29		690
647	011	2	10	25		565
648	011	2	10	21		624
649	011	2	10	14		580
650	011	2	10	2		547
651	011	2	10	7		609
652	011	2	10	25		623
653	011	2	10	31		548
654	011	2	10	18		601
655	011	2	10	30		589
656	011	2	10	5		584
657	011	2	10	24		612
658	011	2	10	23		566
659	011	2	10	1		672
660	011	2	10	10		574
661	011	2	10	21		552
662	011	2	10	30		641
663	011	2	10	12		632
664	011	2	10	6		700
665	011	2	10	12		601
666	011	2	10	9		542
667	011	2	10	16		561
668	011	2	10	0		577
669	011	2	10	14		571
670	011	2	10	13		574
671	011	2	10	26		603
672	011	2	10	6		695
673	011	2	10	7		570
674	011	2	10	27		566
675	011	2	10	4		626
676	000	2	00	0		751
676	011	2	10	1		629
677	011	2	11	0		0
678	011	2	10	30		726
679	011	2	10	1		674
680	011	2	10	29		644
681	011	2	10	19		557
682	011	2	10	15		674
683	011	2	10	27		657
684	000	2	00	12		658
684	011	2	10	13		608
685	011	2	10	10		621
686	011	2	11	0		0
687	011	2	10	10		597
688	011	2	10	29		603
689	011	2	10	30		648
690	011	2	10	19		567
691	011	2	10	16		570
692	011	2	10	30		571
693	011	2	10	14		593
694	011	2	10	15		580
695	011	2	10	22		582
696	011	2	10	2		670
697	011	2	10	2		549
698	011	2	10	10		573
699	011	2	10	4		585
700	011	2	10	0		629
701	011	2	10	22		577
702	011	2	10	22		657
703	011	2	10	29		660
704	011	2	10	4		621
705	011	2	10	14		669
706	011	2	10	2		623
707	011	2	10	2		711
708	011	2	10	10		569
709	011	2	10	30		601
710	011	2	10	6		584
711	011	2	10	6		685
712	011	2	10	0		722
713	011	2	10	11		560
714	011	2	10	21		582
715	011	2	10	27		601
716	000	2	00	13		549
716	011	2	10	17		544
717	011	2	10	1		573
718	011	2	10	31		612
719	011	2	10	29		583
720	011	2	10	31		548
721	011	2	10	26		644
722	011	2	10	6		590
723	011	2	10	20		718
724	011	2	10	1		607
725	011	2	10	14		561
726	011	2	10	8		586
727	011	2	10	4		596
728	011	2	10	9		596
729	011	2	10	30		586
730	011	2	10	7		562
731	011	2	10	4		587
732	011	2	10	17		559
733	011	2	10	20		602
734	011	2	11	0		0
735	011	2	10	24		637
736	011	2	10	23		621
737	011	2	10	22		568
738	011	2	10	22		589
739	011	2	10	16		565
740	011	2	10	30		686
741	011	2	10	27		634
742	011	2	10	29		588
743	011	2	10	0		637
744	011	2	10	26		628
745	011	2	10	4		572
746	011	2	10	22		614
747	011	2	10	16		623
748	011	2	10	30		636
749	011	2	10	1		619
750	011	2	10	27		597
751	011	2	10	0		579
752	011	2	10	2		554
753	011	2	10	1		580
754	011	2	10	20		640
755	011	2	10	3		624
756	011	2	10	16		579
757	011	2	10	6		742
758	011	2	11	0		0
759	011	2	10	30		720
760	011	2	10	26		631
761	011	2	10	22		649
762	011	2	10	4		680
763	011	2	10	20		597
764	011	2	10	21		547
765	011	2	10	15		718
766	011	2	10	10		585
767	011	2	10	30		631
768	011	2	10	29		644
769	011	2	10	17		611
770	011	2	10	2		790
771	011	2	10	20		596
772	011	2	10	14		561
773	011	2	10	0		579
774	011	2	11	0		0
775	011	2	10	15		584
776	011	2	10	31		562
777	011	2	10	9		552
778	011	2	10	26		639
779	011	2	10	9		599
780	011	2	10	26		577
781	011	2	10	6		594
782	011	2	10	15		568
783	011	2	10	9		572
784	011	2	10	15		581
785	011	2	10	15		566
786	011	2	10	30		619
787	011	2	10	0		591
788	011	2	10	29		598
789	000	2	00	6		666
789	011	2	10	9		618
790	011	2	10	0		663
791	011	2	10	9		612
792	011	2	10	30		592
793	011	2	10	24		570
794	011	2	10	17		555
795	011	2	10	6		686
796	011	2	10	7		602
797	011	2	10	20		654
798	011	2	11	0		0
799	011	2	10	14		558
800	011	2	10	29		598
801	011	2	10	26		590
802	011	2	10	9		751
803	011	2	10	21		564
804	000	2	00	4		630
804	000	2	00	5		688
804	011	2	10	6		780
805	011	2	10	16		691
806	011	2	10	30		592
807	011	2	10	26		585
808	011	2	10	22		604
809	011	2	10	20		573
810	011	2	10	8		554
811	011	2	10	29		623
812	011	2	10	21		546
813	011	2	10	18		822
814	011	2	11	0		0
815	011	2	10	28		571
816	011	2	10	20		734
817	011	2	10	22		715
818	011	2	11	0		0
819	011	2	11	0		0
820	011	2	10	29		678
821	011	2	10	15		682
822	011	2	10	0		630
823	011	2	10	14		664
824	011	2	10	0		598
825	011	2	10	1		581
826	011	2	10	24		620
827	011	2	10	22		573
828	011	2	10	23		601
829	011	2	10	0		641
830	011	2	10	8		580
831	011	2	10	14		658
832	011	2	10	29		606
833	011	2	10	22		710
834	011	2	10	28		616
835	011	2	10	21		609
836	011	2	10	29		695
837	011	2	11	0		0
838	011	2	10	19		543
839	011	2	10	0		588
840	011	2	10	4		607
841	011	2	10	22		558
842	011	2	11	0		0
843	011	2	10	22		600
844	011	2	10	15		649
845	011	2	10	4		620
846	011	2	10	20		554
847	011	2	10	30		592
848	011	2	10	6		583
849	011	2	10	6		609
850	011	2	10	15		630
851	011	2	10	11		601
852	011	2	10	16		572
853	011	2	10	6		593
854	011	2	10	21		548
855	011	2	10	6		668
856	011	2	10	12		577
857	011	2	10	2		592
858	011	2	10	2		626
859	011	2	10	6		584
860	011	2	10	30		693
861	011	2	10	29		601
862	011	2	10	25		661
863	011	2	10	26		565
864	011	2	10	12		588
865	011	2	10	19		684
866	011	2	10	7		565
867	011	2	10	21		573
868	011	2	10	8		550
869	011	2	10	14		570
870	011	2	10	1		669
871	011	2	10	24		557
872	011	2	10	2		590
873	011	2	10	1		570
874	011	2	10	27		607
875	011	2	10	4		766
876	011	2	10	15		598
877	011	2	10	0		594
878	011	2	10	4		612
879	011	2	10	4		592
880	011	2	10	23		564
881	011	2	10	0		610
882	011	2	10	4		602
883	011	2	10	4		603
884	011	2	10	14		613
885	011	2	10	18		684
886	011	2	10	4		590
887	011	2	10	7		542
888	011	2	10	10		631
889	011	2	10	30		667
890	011	2	10	19		553
891	011	2	10	4		656
892	011	2	10	28		795
893	011	2	10	30		584
894	011	2	10	15		609
895	011	2	10	24		606
896	011	2	10	16		590
897	011	2	10	10		614
898	011	2	10	31		613
899	011	2	10	2		637
900	011	2	10	6		579
901	011	2	10	3		622
902	011	2	10	30		633
903	011	2	10	15		563
904	011	2	11	0		0
905	011	2	10	6		633
906	011	2	10	14		602
907	011	2	10	21		590
908	011	2	10	0		578
909	011	2	10	11		608
910	011	2	10	0		690
911	011	2	10	3		595
912	011	2	10	20		634
913	011	2	10	15		631
914	011	2	10	27		613
915	011	2	11	0		0
916	011	2	10	6		578
917	011	2	10	18		598
918	011	2	10	1		584
919	000	2	00	6		683
919	011	2	10	11		559
920	011	2	10	29		699
921	011	2	10	5		534
922	011	2	10	31		1108
923	011	2	10	12		612
924	011	2	10	10		571
925	011	2	10	29		634
926	011	2	10	15		571
927	011	2	10	12		648
928	011	2	10	18		606
929	011	2	10	20		578
930	011	2	10	27		649
931	011	2	10	15		634
932	011	2	10	15		823
933	011	2	10	21		581
934	011	2	10	7		546
935	011	2	10	1		590
